2.324																		
2.446	1.847																	
2.624	2.544	0.811																
1.926	3.580	3.210	3.700															
1.999	0.996	1.537	1.865	3.236														
1.983	1.741	1.777	0.765	3.952	0.544													
1.538	2.881	1.869	2.362	3.353	2.711	2.799												
2.434	1.587	1.306	2.226	3.651	1.080	1.625	2.844											
2.355	3.215	3.431	3.699	2.258	3.169	3.395	3.914	3.430										
2.462	2.938	3.477	3.818	2.497	2.772	3.335	3.723	3.145	0.740									
1.943	0.343	1.567	2.038	3.527	0.867	1.218	2.524	1.909	3.149	2.962								
2.152	2.458	2.865	3.464	2.477	1.649	2.698	3.281	2.686	0.878	0.389	2.379							
2.809	3.275	3.350	3.568	2.816	3.285	3.481	3.482	2.282	1.726	1.319	3.298	1.638						
1.850	2.641	2.805	2.620	3.369	2.370	2.258	3.001	2.728	3.282	3.197	2.220	2.941	3.551					
0.857	2.001	1.254	1.845	2.271	1.695	1.718	1.826	2.072	2.875	2.916	1.761	2.480	2.913	2.093				
1.505	2.216	1.614	2.186	2.208	1.940	2.020	2.498	2.365	1.989	2.310	1.918	1.875	2.643	2.311	0.742			
3.168	3.240	3.651	4.263	3.202	2.769	3.529	3.394	2.833	3.018	2.664	3.526	2.310	1.352	3.965	3.360	3.286		
2.672	2.734	2.854	3.503	3.175	2.590	3.062	3.599	0.612	2.366	2.260	2.767	2.338	0.000	3.432	2.589	2.551	0.449	
1.683	2.975	3.227	3.506	2.132	2.758	2.912	3.470	3.266	0.156	1.188	2.909	1.183	2.099	2.909	2.494	1.641	3.022	2.507
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

max-blo80sij
