0.197																		
0.139	0.464																	
0.369	0.455	0.538																
0.166	0.448	0.474	0.362															
0.144	0.258	0.313	0.409	0.170														
0.155	0.396	0.409	0.164	0.287	0.144													
0.178	0.527	0.239	0.446	0.382	0.260	0.322												
0.232	0.387	0.443	0.373	0.305	0.197	0.212	0.371											
0.275	0.761	0.607	0.606	0.219	0.475	0.501	0.698	0.502										
0.260	0.534	0.508	0.510	0.201	0.308	0.455	0.552	0.307	0.161									
0.134	0.178	0.329	0.439	0.292	0.143	0.328	0.220	0.224	0.480	0.515								
0.163	0.814	0.230	0.319	0.288	0.115	0.378	0.521	0.337	0.214	0.080	0.371							
0.351	0.589	0.548	0.507	0.487	0.247	0.460	0.691	0.344	0.321	0.269	0.419	0.278						
0.272	0.550	0.345	0.483	0.304	0.372	0.375	0.443	0.293	0.675	0.584	0.445	0.747	0.438					
0.095	0.289	0.205	0.358	0.213	0.151	0.228	0.220	0.214	0.535	0.444	0.276	0.233	0.376	0.301				
0.172	0.358	0.348	0.502	0.295	0.289	0.484	0.332	0.451	0.559	0.454	0.236	0.566	0.378	0.548	0.112			
0.858	0.872	0.780	0.838	0.726	0.829	0.865	0.635	0.692	0.943	0.648	0.709	0.061	0.296	0.586	0.811	1.000		
0.272	0.322	0.500	0.550	0.575	0.203	0.350	0.435	0.492	0.275	0.298	0.364	0.291	0.227	0.424	0.432	0.403	0.346	
0.191	0.574	0.562	0.572	0.191	0.294	0.485	0.437	0.418	0.000	0.296	0.456	0.062	0.494	0.492	0.263	0.179	0.424	0.525
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

max - exs-exp-0.37: (exp(EX/-0.37)-(0.25))/-0.60																		
