0.769																		
0.662	0.947																	
0.914	0.945	0.964																
0.717	0.943	0.950	0.910															
0.673	0.840	0.883	0.930	0.725														
0.696	0.925	0.930	0.713	0.864	0.674													
0.739	0.962	0.821	0.942	0.919	0.842	0.889												
0.813	0.922	0.941	0.916	0.878	0.769	0.789	0.914											
0.855	0.989	0.974	0.974	0.798	0.950	0.956	0.984	0.956										
0.842	0.963	0.958	0.958	0.775	0.880	0.945	0.966	0.879	0.709									
0.649	0.739	0.893	0.940	0.869	0.670	0.893	0.800	0.804	0.951	0.959								
0.712	0.992	0.811	0.887	0.865	0.599	0.918	0.960	0.898	0.792	0.481	0.915							
0.905	0.972	0.965	0.957	0.953	0.829	0.946	0.984	0.902	0.888	0.850	0.934	0.858						
0.852	0.966	0.902	0.952	0.877	0.915	0.916	0.941	0.869	0.982	0.971	0.942	0.988	0.940					
0.537	0.866	0.780	0.909	0.790	0.687	0.809	0.799	0.792	0.963	0.941	0.856	0.815	0.917	0.875				
0.728	0.908	0.903	0.956	0.871	0.867	0.952	0.895	0.944	0.967	0.944	0.818	0.968	0.918	0.965	0.589			
0.995	0.995	0.990	0.994	0.987	0.993	0.995	0.978	0.984	0.998	0.979	0.985	0.402	0.872	0.971	0.992	1.000		
0.853	0.889	0.956	0.966	0.970	0.777	0.905	0.939	0.954	0.855	0.873	0.911	0.868	0.808	0.935	0.938	0.928	0.902	
0.760	0.970	0.968	0.969	0.760	0.870	0.953	0.939	0.933	0.000	0.871	0.945	0.407	0.955	0.954	0.845	0.741	0.935	0.961
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

max-exs-exp0.1: exp(EX/0.1) normlized to 0-1 scale																		
