7.270																		
7.311	7.186																	
7.082	7.674	2.392																
6.794	7.293	7.556	7.791															
6.913	4.786	6.278	7.205	7.722														
6.238	7.382	6.874	1.647	7.800	2.352													
6.405	7.237	6.696	6.956	7.515	7.491	7.254												
7.504	5.684	3.865	6.891	7.572	3.527	7.251	7.572											
7.628	7.634	7.267	7.782	7.651	7.707	7.694	7.791	7.683										
7.423	7.324	7.690	7.736	7.437	6.952	7.667	7.760	7.322	4.650									
6.915	2.470	4.809	7.341	7.747	3.926	5.237	7.448	6.931	7.497	7.564								
6.928	7.138	7.623	7.718	7.431	6.276	7.506	7.647	7.417	3.564	2.967	6.887							
7.611	7.719	7.725	7.775	7.423	7.721	7.740	7.771	7.142	6.762	5.706	7.732	6.631						
6.383	7.142	7.626	7.397	7.712	6.888	7.139	7.578	7.125	7.721	7.405	7.264	7.650	7.660					
4.451	6.597	3.847	6.750	6.414	6.792	7.116	6.479	7.081	7.502	7.477	6.854	7.327	7.275	6.208				
5.700	7.267	5.791	7.446	7.308	6.963	6.999	7.595	7.348	6.363	7.495	6.434	6.305	7.649	7.026	3.443			
7.708	6.657	7.749	7.692	7.104	7.606	7.665	7.484	7.559	7.609	7.156	7.684	7.306	6.292	7.682	7.298	7.710		
7.581	7.440	6.735	7.496	7.277	7.594	7.625	7.718	3.948	7.401	7.423	7.688	7.393	1.367	7.605	7.034	7.530	5.336	
5.815	7.569	7.625	7.669	6.819	7.520	7.233	7.634	7.703	0.000	6.021	7.516	5.763	7.171	7.506	7.589	6.433	7.456	7.507
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

max-wag
